"term","Coefficient","CI","t","p_value"
"Intercept",1.448,"[1.215, 1.681]",12.17,"2.0e-10"
"Decoding accuracy",-0.034,"[-0.062, -0.006]",-2.397,"0.0166"
"Phonological similarity (string)",-0.044,"[-0.074, -0.013]",-2.806,"0.0051"
"Phonological similarity (probe-string)",0.075,"[0.034, 0.115]",3.629,"0.0043"
"IN vs. OUT",-0.146,"[-0.201, -0.090]",-5.143,"2.9e-07"
"6 vs. 4",0.217,"[0.152, 0.283]",6.526,"8.1e-11"
"8 vs. 4",0.341,"[0.271, 0.410]",9.6,"3.7e-21"
"B vs. G",0.1,"[-0.055, 0.254]",1.261,"0.4448"
"C vs. G",0.185,"[0.029, 0.341]",2.323,"0.1518"
"D vs. G",0.046,"[-0.110, 0.202]",0.576,"0.7696"
"F vs. G",0.137,"[-0.017, 0.290]",1.749,"0.2413"
"H vs. G",0.176,"[0.011, 0.342]",2.086,"0.1665"
"K vs. G",-0.01,"[-0.166, 0.147]",-0.119,"0.9530"
"L vs. G",-0.054,"[-0.205, 0.097]",-0.703,"0.7229"
"N vs. G",-0.005,"[-0.159, 0.150]",-0.059,"0.9530"
"P vs. G",0.157,"[0.004, 0.309]",2.011,"0.1665"
"R vs. G",-0.059,"[-0.214, 0.095]",-0.749,"0.7229"
"S vs. G",-0.088,"[-0.243, 0.068]",-1.104,"0.5055"
"T vs. G",0.126,"[-0.031, 0.283]",1.578,"0.2868"
"V vs. G",0.011,"[-0.149, 0.170]",0.133,"0.9530"
"Z vs. G",-0.04,"[-0.195, 0.115]",-0.501,"0.7703"
